variance,curtosis,class
0.81356,-2.1492,0
-0.23356,-3.0669,1
-3.6053,10.0916,1
-4.1958,12.1291,1
5.0185,-2.9375,0
2.4527,0.20021,0
2.9163,-3.3437,0
2.5989,0.7623,0
2.9499,1.3458,0
0.74054,2.1992,0
1.2572,-5.2861,1
3.3669,3.6935,0
1.4276,-2.0995,0
3.7522,3.9943,0
3.5912,0.72888,0
0.21431,0.87711,1
-1.749,6.0987,1
3.1452,-0.51439,0
3.2422,0.12224,0
1.1518,5.2727,0
-2.1979,1.7151,1
-3.0799,2.7039,1
3.9479,2.883,0
3.6922,4.3439,0
0.52855,4.0243,0
0.89606,-1.4175,0
4.1197,2.0707,0
4.9249,0.77344,0
-1.7063,-2.378,1
-2.8619,-0.58123,1
-2.0631,1.219,1
5.3915,-3.8081,0
-0.41645,-0.33617,1
-0.96511,1.7305,0
-1.3414,-0.15538,1
-4.9462,0.82742,1
3.5189,-1.7791,0
0.049175,1.7828,0
2.5367,2.0938,0
0.30081,-1.7542,1
-2.3518,6.6479,1
1.9265,-0.16823,0
-3.9297,10.0958,1
-1.9555,1.2473,1
4.4682,0.95766,0
-4.4018,15.6559,1
-0.014902,-0.94024,1
5.086,-1.2701,0
3.7022,-1.8511,0
4.2134,2.0116,0
3.4626,3.5427,0
-0.77461,2.4023,1
2.888,4.5907,0
-1.9922,2.6542,0
3.3951,2.1401,0
-1.8969,5.2761,1
4.2478,-2.7696,0
3.4591,-4.2039,0
-5.3012,0.029699,1
1.3451,-1.8785,1
0.18868,-0.51182,1
-0.2951,-0.52725,0
-1.4427,-1.9702,1
5.0617,0.44698,0
3.4805,-3.7541,0
2.0962,1.9379,0
5.8862,-2.8167,0
1.3234,0.2362,0
4.1425,3.8281,0
3.9362,-3.8235,0
0.6818,-5.2133,1
-1.8215,-0.72261,1
-0.062025,1.099,0
0.12326,-0.9351,0
3.7731,-1.6814,0
-2.8957,11.9149,1
3.9663,-4.1131,0
1.0009,-0.28219,0
2.6946,-0.40301,0
2.2526,-3.1749,0
0.1848,2.0133,0
0.01727,1.3989,0
5.3586,-1.7345,0
0.5706,1.2421,0
4.3064,-2.7824,0
0.51947,3.0895,0
2.8232,-3.1466,0
-0.9607,-3.1226,1
-3.5681,10.083,1
4.3365,3.6884,0
3.0333,2.3183,0
3.5257,1.9276,0
0.9297,4.6429,0
2.1943,-4.976,1
0.37637,0.78543,1
-2.2623,0.28846,0
-0.278,-3.1338,0
-3.3203,2.9618,1
1.9818,-3.521,0
-0.91318,-0.19565,1
4.364,2.3757,0
1.3754,-1.9136,0
-2.9138,9.7668,1
0.56953,1.5754,0
-0.78689,-3.7867,0
-1.1313,7.5339,0
-0.76794,-3.4405,1
-0.60254,-2.1501,1
-0.36372,-3.4816,1
-6.4247,0.022844,1
-0.82601,-1.2864,1
2.1464,-0.5778,0
3.946,-1.5443,0
0.2346,2.1195,1
-1.3612,1.7022,0
0.040498,1.4461,0
4.0972,1.6671,0
3.0242,2.5865,0
-2.121,1.949,1
0.37984,0.75716,0
2.5817,-3.1749,0
0.68087,4.9085,0
0.3292,4.5718,0
0.86202,4.2908,0
-1.0555,-1.6968,1
5.0452,-1.4304,0
2.093,0.022844,0
-3.2238,0.32274,1
-0.70346,-3.5947,1
-0.071503,-4.5415,1
1.7331,-4.7412,1
-1.3,-2.953,0
-0.37013,4.7749,1
1.8994,4.2265,0
0.93584,-1.6831,0
-1.2786,4.5735,1
1.3638,8.4182,0
-2.7914,6.7756,0
2.5328,-0.41929,0
-3.7503,17.5932,1
1.0987,5.989,0
1.3349,0.46497,0
5.807,-2.2384,0
-1.7697,-1.2144,1
1.645,-0.87598,0
4.8906,3.4202,0
-0.65767,3.7115,1
3.6289,1.6277,0
5.7867,-2.6196,0
-1.8554,7.7764,1
4.3239,3.4356,0
-1.7713,10.2184,1
4.5459,-2.4586,0
2.8209,-0.81857,0
-2.6479,-1.331,0
-6.2003,0.0091344,1
-4.0214,15.6199,1
1.1558,1.5506,0
-1.239,4.8151,1
0.54777,-1.5435,0
5.4188,-4.084,0
-5.0301,-0.13396,1
5.2032,-1.2538,0
-1.8483,0.77344,1
3.2403,5.2804,0
1.7875,-5.1362,1
-1.8439,7.6796,1
-0.45062,7.0858,0
3.3756,4.367,0
0.89512,-4.8431,1
3.1887,2.7742,0
-4.0786,0.87026,1
2.614,-3.7258,0
4.6014,-2.1235,0
-2.7143,2.1092,0
1.5902,3.2403,0
0.53936,-4.8166,1
2.4012,3.0312,0
-2.799,-0.42357,1
-5.3857,-0.41929,1
3.8244,2.4537,0
3.8197,-4.383,0
1.5514,-4.9143,1
0.3798,0.7572,0
4.0713,-4.1722,0
0.20977,7.7267,0
3.2414,1.4015,0
2.4235,-3.0789,0
0.3292,4.5718,0
1.2198,-3.1954,1
2.0911,4.5512,0
1.7747,8.15,0
-4.8392,-0.24278,1
-2.1802,-1.2256,1
-6.5235,-0.25392,1
1.8238,8.3873,0
5.2423,-4.353,0
-3.0193,0.73745,1
4.1665,0.23448,0
3.3397,3.9823,0
-1.5078,7.8981,1
1.9358,-0.023425,0
-2.0662,-1.0054,1
-2.9821,-0.5898,1
-1.5732,-0.71232,1
0.98296,-3.9692,1
-6.3979,1.0836,1
-5.637,0.13081,1
3.7767,-3.9075,0
0.6005,-2.2126,1
-1.4275,0.41613,0
2.3164,3.1529,0
1.6406,1.3964,0
-1.5055,6.8681,0
1.9321,0.26019,0
-5.2943,10.3332,1
1.8533,1.0176,0
1.8205,0.0099913,0
0.74428,1.6131,1
3.5152,-0.67377,0
-1.8584,-1.6643,0
0.3798,0.7572,0
2.6799,0.34073,0
4.6464,-4.5852,0
-2.6286,1.7956,1
1.7257,8.2219,0
-1.5681,6.5537,1
-0.46651,-2.9812,1
3.4465,1.0271,0
-2.7723,-0.9351,1
-5.1216,10.3846,1
1.5631,-1.9702,1
-2.9915,8.6521,1
3.482,3.5008,0
-1.6162,8.1628,0
-2.564,1.5026,1
4.0215,2.4648,0
0.46901,7.3848,0
-2.0897,2.3603,0
1.9429,0.092248,0
-1.7589,8.4773,1
-2.4365,-1.4166,1
4.2027,0.96108,0
0.56232,-2.2726,1
-3.3604,2.1324,1
1.934,4.816,0
2.1721,5.4672,0
0.29961,-0.31475,0
-1.7015,-0.99337,1
-1.0292,5.5255,1
-0.94255,-0.24192,1
-5.4808,0.27818,1
5.7353,-2.2598,0
1.7496,5.1827,0
4.4072,2.0416,0
-3.8203,16.9583,1
4.2756,2.1375,0
0.50813,-1.9804,1
0.33565,0.69718,0
0.87256,-0.7843,0
2.7659,4.1494,0
0.3798,0.7572,0
5.8782,-2.8544,0
-0.55355,6.7156,1
1.3518,-2.3437,1
0.5415,1.6825,0
1.143,5.4552,0
-3.3924,-0.72004,1
-2.0285,-0.63435,1
-2.5961,9.7942,1
-2.9672,13.4727,1
0.31803,1.0947,1
-0.025314,-0.11339,1
-2.234,7.4936,1
4.7285,-0.28305,0
